UF;YEAR;MONTH;RAIN;DENGUE
ES;2019;01;186.0;0.0
ES;2019;02;1543.2;0.0
ES;2019;03;1321.0;0.0
ES;2019;04;776.6;0.0
ES;2019;05;1344.0;0.0
ES;2019;06;524.2;0.0
ES;2019;07;327.2;0.0
ES;2019;08;662.6;0.0
ES;2019;09;696.8;0.0
ES;2019;10;738.6;0.0
ES;2019;11;3629.0;0.0
ES;2019;12;1719.0;0.0
RJ;2015;01;1200.6;0.0
RJ;2015;02;1839.4;0.0
RJ;2015;03;2227.0;0.0
RJ;2015;04;1477.8;0.0
RJ;2015;05;956.6;0.0
RJ;2015;06;1128.4;0.0
RJ;2015;07;347.0;0.0
RJ;2015;08;258.6;0.0
RJ;2015;09;1747.4;0.0
RJ;2015;10;878.8;0.0
RJ;2015;11;3068.2;0.0
RJ;2015;12;2109.0;0.0
RJ;2016;01;5050.2;0.0
RJ;2016;02;2887.2;0.0
RJ;2016;03;2244.6;0.0
RJ;2016;04;376.8;0.0
RJ;2016;05;893.2;0.0
RJ;2016;06;1630.0;0.0
RJ;2016;07;177.4;0.0
RJ;2016;08;737.8;0.0
RJ;2016;09;1053.6;0.0
RJ;2016;10;1619.0;0.0
RJ;2016;11;5455.6;0.0
RJ;2016;12;3720.8;0.0
RJ;2017;01;3593.4;0.0
RJ;2017;02;1664.6;0.0
RJ;2017;03;2959.0;0.0
RJ;2017;04;2114.0;0.0
RJ;2017;05;1333.6;0.0
RJ;2017;06;1293.2;0.0
RJ;2017;07;853.4;0.0
RJ;2017;08;923.2;0.0
RJ;2017;09;382.2;0.0
RJ;2017;10;1607.2;0.0
RJ;2017;11;3929.2;0.0
RJ;2017;12;3102.0;0.0
RJ;2018;01;5921.4;0.0
RJ;2018;02;4348.4;0.0
RJ;2018;03;4477.6;0.0
RJ;2018;04;2187.6;0.0
RJ;2018;05;1471.2;0.0
RJ;2018;06;1083.0;0.0
RJ;2018;07;797.4;0.0
RJ;2018;08;1909.0;0.0
RJ;2018;09;1909.2;0.0
RJ;2018;10;3095.2;0.0
RJ;2018;11;5465.4;0.0
RJ;2018;12;3036.2;0.0
RJ;2019;01;2660.0;0.0
RJ;2019;02;6483.6;0.0
RJ;2019;03;5905.2;0.0
RJ;2019;04;3465.8;0.0
RJ;2019;05;3707.6;0.0
RJ;2019;06;1058.8;0.0
RJ;2019;07;746.8;0.0
RJ;2019;08;1793.2;0.0
RJ;2019;09;2692.8;0.0
RJ;2019;10;1960.6;0.0
RJ;2019;11;4604.4;0.0
RJ;2019;12;4509.0;0.0
SP;2015;01;4465.0;0.0
SP;2015;02;6595.0;0.0
SP;2015;03;6210.6;0.0
SP;2015;04;1862.0;0.0
SP;2015;05;2756.6;0.0
SP;2015;06;571.2;0.0
